0	0	0
1	50	50
2	75	125
3	110	235
4	160	395
5	230	625
6	330	955
7	470	1,425
8	670	2,095
9	950	3,045
10	1,340	4,385
11	1,890	6,275
12	2,665	8,940
13	3,760	12,700
14	5,260	17,960
15	7,380	25,340
16	10,300	35,640
17	14,400	50,040
18	20,000	70,040
19	27,600	97,640
20	38,000	135,640
21	52,500	188,140
22	71,500	259,640
23	97,000	356,640
24	132,000	488,640
25	180,000	668,640
26	243,000	911,640
27	328,000	1,239,640
28	445,000	1,684,640
29	600,000	2,284,640
30	800,000	3,084,640
31	1,065,000	4,149,640
32	1,410,000	5,559,640
33	1,900,000	7,459,640
34	2,500,000	9,959,640
35	3,300,000	13,259,640
36	4,300,000	17,559,640
37	5,600,000	23,159,640
38	7,200,000	30,359,640
39	9,200,000	39,559,640
40	12,000,000	51,559,640
41	15,000,000	66,559,640
42	19,000,000	85,559,640
43	24,000,000	109,559,640
44	30,000,000	139,559,640
45	38,000,000	177,559,640
46	48,000,000	225,559,640
47	60,000,000	285,559,640
48	75,000,000	360,559,640
49	93,000,000	453,559,640
50	116,250,000	569,809,640
